timestamp,noise_db,status,event
2026-09-24 21:01:35,27.7,QUIET,Status changed
2026-09-24 21:01:37,49.1,MODERATE,Status changed
2026-09-24 21:01:37,30.4,QUIET,Status changed
2026-09-24 21:01:38,45.8,MODERATE,Status changed
2026-09-24 21:01:38,42.8,QUIET,Status changed
2026-09-24 21:01:41,53.0,MODERATE,Status changed
2026-09-24 21:01:41,38.7,QUIET,Status changed
2026-09-24 21:01:43,45.9,MODERATE,Status changed
2026-09-24 21:01:43,28.2,QUIET,Status changed
2026-09-24 21:01:48,56.9,MODERATE,Status changed
2026-09-24 21:01:48,28.7,QUIET,Status changed
2026-09-24 21:01:48,47.8,MODERATE,Status changed
2026-09-24 21:01:48,44.4,QUIET,Status changed
2026-09-24 21:01:50,51.1,MODERATE,Status changed
2026-09-24 21:01:50,25.1,QUIET,Status changed
2026-09-24 21:01:51,49.6,MODERATE,Status changed
2026-09-24 21:01:51,24.8,QUIET,Status changed
2026-09-24 21:01:59,50.8,MODERATE,Status changed
2026-09-24 21:01:59,28.4,QUIET,Status changed
2026-09-24 21:01:59,46.9,MODERATE,Status changed
2026-09-24 21:01:59,34.6,QUIET,Status changed
2026-09-24 21:02:00,46.9,MODERATE,Status changed
2026-09-24 21:02:00,44.8,QUIET,Status changed
2026-09-24 21:02:00,48.9,MODERATE,Status changed
2026-09-24 21:02:00,41.7,QUIET,Status changed
2026-09-24 21:02:00,48.5,MODERATE,Status changed
2026-09-24 21:02:01,44.9,QUIET,Status changed
2026-09-24 21:02:01,46.8,MODERATE,Status changed
2026-09-24 21:02:01,42.3,QUIET,Status changed
2026-09-24 21:02:01,46.1,MODERATE,Status changed
2026-09-24 21:02:02,43.0,QUIET,Status changed
2026-09-24 21:02:04,49.0,MODERATE,Status changed
2026-09-24 21:02:04,43.6,QUIET,Status changed
2026-09-24 21:02:05,48.4,MODERATE,Status changed
2026-09-24 21:02:05,42.0,QUIET,Status changed
2026-09-24 21:02:06,60.3,NOISY,Status changed
2026-09-24 21:02:06,59.9,MODERATE,Status changed
2026-09-24 21:02:06,68.4,NOISY,Status changed
2026-09-24 21:02:09,55.1,MODERATE,Status changed
2026-09-24 21:02:09,36.9,QUIET,Status changed
2026-09-24 21:02:09,50.0,MODERATE,Status changed
2026-09-24 21:02:09,43.4,QUIET,Status changed
2026-09-24 21:02:13,51.5,MODERATE,Status changed
2026-09-24 21:02:13,13.1,QUIET,Status changed
2026-09-24 21:02:15,45.7,MODERATE,Status changed
2026-09-24 21:02:15,32.5,QUIET,Status changed
2026-09-24 21:02:15,47.8,MODERATE,Status changed
2026-09-24 21:02:15,21.8,QUIET,Status changed
2026-09-24 21:02:19,46.5,MODERATE,Status changed
2026-09-24 21:02:19,44.7,QUIET,Status changed
2026-09-24 21:02:19,51.4,MODERATE,Status changed
2026-09-24 21:02:19,37.7,QUIET,Status changed
2026-09-24 21:02:25,47.6,MODERATE,Status changed
2026-09-24 21:02:25,40.8,QUIET,Status changed
2026-09-24 21:02:25,50.1,MODERATE,Status changed
2026-09-24 21:02:25,26.4,QUIET,Status changed
2026-09-24 21:02:25,48.2,MODERATE,Status changed
2026-09-24 21:02:26,37.5,QUIET,Status changed
2026-09-24 21:02:30,0.0,INFO,Monitoring stopped
2026-09-24 21:53:34,0.0,INFO,Monitoring started
2026-09-24 21:53:34,0.0,QUIET,Status changed
2026-09-24 21:54:13,0.0,INFO,Monitoring stopped
2026-09-24 22:07:13,0.0,INFO,Monitoring started
2026-09-24 22:07:13,0.0,QUIET,Status changed
2026-09-24 22:08:05,0.0,INFO,Monitoring stopped
2026-09-24 22:09:01,0.0,INFO,Monitoring started
2026-09-24 22:09:02,8.0,MODERATE,Status changed
2026-09-24 22:09:02,12.9,NOISY,Status changed
2026-09-24 22:09:04,27.5,NOISY,ALERT
2026-09-24 22:09:09,15.7,NOISY,ALERT
2026-09-24 22:09:12,9.7,MODERATE,Status changed
2026-09-24 22:09:12,13.8,NOISY,Status changed
2026-09-24 22:09:14,12.6,NOISY,ALERT
2026-09-24 22:09:19,27.6,NOISY,ALERT
2026-09-24 22:09:22,9.8,MODERATE,Status changed
2026-09-24 22:09:22,13.1,NOISY,Status changed
2026-09-24 22:09:23,9.9,MODERATE,Status changed
2026-09-24 22:09:23,14.4,NOISY,Status changed
2026-09-24 22:09:25,14.3,NOISY,ALERT
2026-09-24 22:09:27,9.2,MODERATE,Status changed
2026-09-24 22:09:28,12.2,NOISY,Status changed
2026-09-24 22:09:28,0.0,INFO,Monitoring stopped
2026-09-24 22:29:27,0.0,INFO,Monitoring started
